MATRICULA,C_SPANISH,C_MATHEMATICS,C_SCIENCES,PROM_T_USE_TECH,DT,Y,CI
00001,9,9,8,9,0,7,0
00002,8,6,5,1,0,8,0
00003,6,10,9,4,10,1,10
00004,7,10,10,10,0,4,10
00005,10,8,10,7,0,10,10
00006,10,10,5,1,10,7,10
00007,7,5,8,1,0,4,10
00008,10,10,10,9,0,6,0
00009,6,8,5,8,10,1,0
00010,10,5,6,2,0,6,0
00011,7,10,8,9,0,9,0
00012,5,6,5,10,10,2,10
00013,7,10,5,4,0,1,0
00014,6,10,6,5,10,10,10
00015,9,10,8,5,0,3,10
00016,10,5,7,10,10,1,0
00017,9,7,5,10,0,3,0
00018,8,6,8,9,10,1,10
00019,6,6,6,7,0,5,0
00020,8,8,6,10,10,1,0
00021,6,9,5,7,10,5,10
00022,8,8,9,9,10,5,0
00023,7,8,6,9,10,3,0
00024,9,10,7,6,0,7,10
00025,7,7,10,4,10,10,10
00026,6,6,8,3,10,3,10
00027,7,9,7,3,10,10,10
00028,7,10,9,4,0,4,10
00029,10,6,7,5,0,6,10
00030,6,8,6,4,0,9,10
00031,5,5,8,9,0,1,0
00032,7,5,8,9,10,6,0
00033,8,5,10,7,10,2,0
00034,6,5,7,6,0,9,0
00035,6,5,7,10,0,5,10
00036,7,9,6,3,10,8,0
00037,8,7,5,5,10,4,0
00038,10,5,9,2,10,1,10
00039,6,6,9,7,10,8,0
00040,10,10,8,5,0,10,0
00041,10,6,5,3,0,10,10
00042,8,9,6,4,0,3,0
00043,7,6,6,1,10,8,10
00044,7,8,7,9,0,9,10
00045,7,9,6,6,10,8,0
00046,5,5,7,8,0,9,0
00047,9,9,8,5,10,5,0
00048,7,6,6,1,0,1,0
00049,9,8,10,4,0,9,0
00050,8,6,5,4,10,3,0
00051,10,5,9,4,10,6,10
00052,7,8,5,1,0,1,10
00053,8,10,6,3,0,8,10
00054,9,9,5,1,0,3,10
00055,6,7,10,10,10,9,0
00056,5,8,10,9,10,1,0
00057,5,7,6,9,10,2,10
00058,7,7,10,2,0,2,10
00059,5,10,8,1,0,1,10
00060,5,6,9,10,0,1,0
00061,7,8,9,5,0,6,10
00062,8,8,8,7,10,9,10
00063,10,10,9,1,0,2,10
00064,8,7,5,5,0,6,0
00065,8,5,10,2,10,9,0
00066,9,9,5,1,0,5,0
00067,8,9,7,3,10,1,0
00068,9,6,9,2,10,9,0
00069,6,7,6,6,10,3,10
00070,7,10,9,3,10,2,0
00071,6,5,5,1,0,9,0
00072,6,10,7,8,10,3,0
00073,9,8,9,1,10,7,0
00074,9,6,7,9,0,2,0
00075,7,5,10,1,0,2,10
00076,10,6,10,8,10,2,10
00077,5,9,5,1,0,10,0
00078,10,9,6,10,0,9,10
00079,8,7,9,4,10,5,0
00080,7,6,5,9,0,10,0
00081,6,7,8,1,0,4,10
00082,6,9,5,7,0,5,10
00083,8,10,10,7,0,9,0
00084,9,7,10,5,0,1,0
00085,8,9,6,8,10,9,10
00086,10,8,8,3,10,4,0
00087,7,6,8,4,0,9,10
00088,9,8,10,5,0,7,10
00089,7,7,8,10,0,10,0
00090,6,7,6,6,10,2,10
00091,9,6,9,9,0,2,10
00092,6,6,6,1,10,5,0
00093,6,9,6,6,10,10,10
00094,7,10,10,1,0,2,0
00095,6,5,10,8,10,9,0
00096,10,10,6,10,0,5,0
00097,9,10,8,4,10,1,0
00098,8,6,5,4,10,3,10
00099,8,6,5,7,10,8,0
00100,10,5,10,7,0,5,10
00101,9,7,9,4,10,3,0
00102,7,8,5,5,0,5,10
00103,5,9,9,7,0,8,10
00104,8,6,8,9,0,1,0
00105,10,6,5,10,0,3,10
00106,9,8,9,10,0,7,10
00107,5,6,5,1,0,8,10
00108,9,8,9,10,10,7,0
00109,6,9,6,9,0,7,0
00110,9,5,7,9,0,5,10
00111,7,5,9,7,10,9,0
00112,7,7,7,8,0,3,10
00113,6,6,7,9,0,3,10
00114,5,7,6,3,0,3,10
00115,10,10,7,2,0,1,0
00116,6,6,8,10,0,9,0
00117,6,10,7,1,0,4,10
00118,5,7,5,1,10,1,0
00119,5,5,8,1,0,6,10
00120,6,10,5,6,10,2,10
00121,9,5,6,2,10,7,0
00122,9,10,10,9,0,3,0
00123,5,8,5,6,10,2,10
00124,9,8,9,9,10,8,10
00125,8,5,6,3,10,10,10
00126,6,9,6,6,10,4,0
00127,7,10,9,10,0,9,10
00128,6,5,9,4,0,5,10
00129,10,10,5,2,10,6,10
00130,7,6,9,7,0,10,10
00131,6,6,5,4,0,1,10
00132,9,5,8,4,0,5,0
00133,5,10,5,4,0,6,10
00134,9,7,7,8,0,10,0
00135,7,10,8,1,10,10,10
00136,10,5,6,5,0,8,10
00137,8,5,8,5,0,9,0
00138,7,5,7,8,0,9,0
00139,9,7,9,6,0,4,10
00140,7,5,6,9,10,2,0
00141,5,10,7,9,10,9,10
00142,7,10,7,9,10,8,10
00143,8,7,9,4,0,10,0
00144,7,10,5,1,10,2,0
00145,8,6,10,10,10,1,10
00146,8,5,9,7,10,1,10
00147,9,6,5,5,0,4,0
00148,5,5,6,9,0,8,0
00149,7,9,8,3,10,1,10
00150,7,6,6,6,10,6,0
00151,7,5,9,4,10,5,10
00152,8,9,8,7,0,5,0
00153,8,9,6,9,10,8,0
00154,9,9,7,5,0,2,10
00155,9,9,7,7,10,10,0
00156,5,7,8,4,10,3,10
00157,9,7,6,7,10,10,10
00158,5,10,8,1,0,10,0
00159,9,10,9,2,0,8,0
00160,9,7,8,7,10,10,10
00161,5,6,9,7,0,5,10
00162,5,9,8,5,0,1,0
00163,10,10,10,9,0,5,10
00164,9,6,10,4,10,9,10
00165,10,6,6,6,10,7,10
00166,10,8,8,6,0,5,10
00167,8,10,6,1,0,7,10
00168,6,8,10,9,10,6,10
00169,9,6,9,10,10,9,0
00170,7,6,8,10,0,5,10
00171,6,9,5,4,0,2,0
00172,10,5,6,5,10,9,10
00173,5,6,9,7,0,7,0
00174,7,10,6,4,10,2,0
00175,7,8,10,1,0,7,10
00176,6,5,6,5,10,5,0
00177,7,5,5,8,0,9,10
00178,5,8,9,6,10,1,0
00179,10,5,9,3,0,8,10
00180,10,6,8,9,0,7,0
00181,6,6,7,5,0,5,10
00182,5,8,6,4,10,3,0
00183,9,8,8,4,10,8,10
00184,9,10,6,1,0,4,0
00185,10,10,6,7,0,7,10
00186,6,7,10,9,10,1,10
00187,6,8,8,10,10,7,0
00188,10,8,7,9,0,7,0
00189,10,9,5,9,10,5,0
00190,10,9,5,4,0,5,10
00191,5,9,10,10,0,1,0
00192,6,7,9,2,0,6,10
00193,6,5,10,7,0,2,0
00194,5,7,6,8,0,4,10
00195,9,7,7,8,0,1,10
00196,9,6,5,2,10,1,10
00197,8,7,6,2,0,6,10
00198,8,7,5,6,0,6,10
00199,8,10,9,9,10,1,10
00200,7,5,10,2,0,2,0
00201,10,9,7,4,0,7,0
00202,7,10,6,7,10,6,0
00203,9,7,8,2,0,1,0
00204,9,6,10,8,0,9,0
00205,10,7,8,7,10,2,0
00206,6,9,7,4,10,9,10
00207,8,5,10,4,0,3,10
00208,9,6,10,8,0,9,10
00209,9,5,10,7,10,10,10
00210,9,6,8,6,0,6,0
00211,5,5,7,9,0,8,0
00212,10,9,8,5,0,7,10
00213,5,6,6,3,10,7,0
00214,9,5,6,7,10,3,0
00215,10,10,5,9,0,4,10
00216,10,7,7,10,0,4,10
00217,8,9,9,1,10,9,10
00218,7,8,6,5,0,5,0
00219,9,9,7,6,0,1,0
00220,10,5,6,2,0,3,0
00221,6,6,6,6,10,5,0
00222,10,7,9,10,0,6,0
00223,8,8,10,10,0,9,0
00224,6,7,8,1,0,8,10
00225,8,7,5,6,0,2,10
00226,10,5,9,3,10,8,10
00227,9,7,7,1,0,4,0
00228,7,5,5,5,10,7,10
00229,9,10,8,9,0,2,10
00230,9,5,9,4,0,6,10
00231,6,10,7,5,10,5,0
00232,7,7,10,3,10,2,0
00233,9,8,5,2,0,1,10
00234,8,10,8,2,0,3,10
00235,6,10,8,2,10,4,0
00236,7,5,9,9,10,10,0
00237,6,10,7,1,10,10,10
00238,10,9,9,7,0,1,10
00239,9,5,8,6,10,7,10
00240,10,8,5,8,10,7,0
00241,10,9,10,4,0,4,10
00242,5,6,8,2,0,9,0
00243,6,7,6,2,10,9,10
00244,5,8,6,2,10,6,10
00245,8,9,9,4,0,5,0
00246,6,6,10,10,10,9,10
00247,5,10,7,3,0,4,10
00248,6,7,10,10,10,1,10
00249,6,5,7,10,0,5,10
00250,9,10,6,6,0,1,0
00251,6,7,8,4,10,7,0
00252,5,6,7,5,0,10,10
00253,8,7,7,5,0,3,10
00254,5,7,5,3,0,2,10
00255,6,6,6,3,10,7,10
00256,9,6,10,6,10,4,0
00257,9,7,8,8,10,4,10
00258,7,5,5,10,10,9,0
00259,8,9,5,4,0,10,0
00260,8,6,5,5,0,7,0
00261,5,5,7,3,0,2,10
00262,7,9,10,4,0,6,10
00263,6,8,8,6,0,9,0
00264,6,10,5,8,0,8,10
00265,8,9,5,2,0,9,0
00266,10,5,9,9,10,5,10
00267,5,7,6,2,0,9,10
00268,6,7,5,3,10,6,0
00269,7,7,5,4,0,7,0
00270,5,6,5,6,10,6,0
00271,6,5,10,6,0,2,10
00272,9,7,10,7,10,9,0
00273,9,7,5,10,10,6,0
00274,9,8,9,4,0,4,0
00275,7,6,9,7,0,1,10
00276,6,7,5,7,0,8,0
00277,5,10,9,8,10,10,10
00278,7,5,5,2,0,8,10
00279,7,10,7,6,0,8,10
00280,7,7,7,4,10,3,0
00281,6,6,9,7,10,8,0
00282,7,8,8,8,0,2,0
00283,5,8,5,8,0,7,0
00284,6,6,5,2,10,9,0
00285,6,8,8,1,10,5,0
00286,9,6,8,10,10,8,10
00287,10,5,7,2,10,7,0
00288,9,5,7,9,10,1,10
00289,6,10,5,1,0,3,0
00290,6,7,7,6,0,8,10
00291,9,9,5,4,10,3,0
00292,5,8,5,5,10,1,10
00293,6,5,9,3,10,3,0
00294,6,5,7,9,10,9,10
00295,9,7,8,2,0,2,0
00296,6,7,7,6,0,6,0
00297,8,5,8,6,0,10,10
00298,9,10,8,6,10,6,10
00299,7,7,8,1,0,2,10
00300,5,5,9,10,10,10,10
00301,5,10,7,4,0,4,10
00302,10,10,10,1,0,1,10
00303,7,5,5,5,0,3,10
00304,9,10,9,8,0,1,10
00305,10,9,6,5,10,3,10
00306,9,8,5,10,10,6,10
00307,8,8,7,2,10,3,10
00308,7,6,7,3,0,2,10
00309,8,9,10,3,10,4,0
00310,7,6,8,9,10,10,10
00311,7,8,8,4,0,10,0
00312,10,6,6,1,0,9,10
00313,5,10,7,5,10,10,10
00314,9,10,6,5,0,6,10
00315,6,6,7,2,10,4,0
00316,5,6,7,2,0,7,10
00317,10,8,6,8,10,2,0
00318,9,6,10,5,10,4,10
00319,6,8,8,8,10,8,10
00320,10,8,5,5,0,9,10
00321,6,10,5,7,0,7,10
00322,7,9,7,4,0,5,0
00323,6,8,6,9,0,1,10
00324,10,6,7,8,0,9,10
00325,7,6,7,9,10,5,10
00326,9,5,5,6,10,2,10
00327,9,9,9,10,0,5,10
00328,9,10,10,10,0,2,0
00329,7,8,7,4,0,1,0
00330,5,7,8,9,10,8,0
00331,5,7,8,10,10,5,0
00332,5,6,7,1,10,3,0
00333,7,9,5,3,10,7,0
00334,9,5,9,2,0,5,0
